epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,train/sem_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,val/sem_loss,lr/pg0,lr/pg1,lr/pg2
77,2937.15,0.10883,0.13443,0.09544,0.78529,0,0.9987,1,0.995,0.89672,0.9987,1,0.995,0.80596,0.46236,1.77924,0.17641,0.8738,0,0.000412749,0.000412749,0.000412749
78,2974.09,0.10754,0.13327,0.09439,0.78586,0,0.99989,1,0.995,0.89464,0.99989,1,0.995,0.80291,0.46545,1.82021,0.16952,0.87436,0,0.000396246,0.000396246,0.000396246
79,3010.94,0.10564,0.12927,0.09285,0.78446,0,0.99637,1,0.995,0.89331,0.99637,1,0.995,0.80421,0.46834,1.79485,0.17962,0.87564,0,0.000379743,0.000379743,0.000379743
80,3048.3,0.10585,0.12872,0.09367,0.78659,0,0.99988,1,0.995,0.89784,0.99988,1,0.995,0.80496,0.45719,1.80269,0.17321,0.87311,0,0.000363239,0.000363239,0.000363239
81,3085.64,0.10514,0.12739,0.09431,0.78578,0,0.99985,1,0.995,0.89509,0.99985,1,0.995,0.80414,0.4653,1.75796,0.17212,0.87349,0,0.000346736,0.000346736,0.000346736
82,3123.36,0.10141,0.12522,0.09102,0.78595,0,0.99997,1,0.995,0.89465,0.99997,1,0.995,0.80567,0.46457,1.87494,0.17309,0.87521,0,0.000330233,0.000330233,0.000330233
83,3160.58,0.10071,0.12559,0.08829,0.78581,0,0.99995,1,0.995,0.89961,0.99995,1,0.995,0.804,0.45119,1.91231,0.16702,0.87141,0,0.000313729,0.000313729,0.000313729
84,3198.43,0.10206,0.1287,0.08947,0.78718,0,0.99997,1,0.995,0.89523,0.99997,1,0.995,0.80622,0.46367,1.88825,0.16871,0.87554,0,0.000297226,0.000297226,0.000297226
85,3236.29,0.09787,0.12102,0.08614,0.78479,0,0.99989,1,0.995,0.89598,0.99989,1,0.995,0.80395,0.46401,1.92867,0.16877,0.87772,0,0.000280723,0.000280723,0.000280723
86,3274.42,0.09858,0.12319,0.08769,0.78665,0,0.99996,1,0.995,0.89807,0.99996,1,0.995,0.80285,0.45687,1.97874,0.16655,0.8757,0,0.00026422,0.00026422,0.00026422
87,3311.56,0.09714,0.12127,0.08589,0.78739,0,0.99997,1,0.995,0.89779,0.99997,1,0.995,0.80631,0.45533,1.93405,0.16786,0.8751,0,0.000247716,0.000247716,0.000247716
